N,P,K,PointID,OC,pH,Clay,Silt,Sand
2.0,27.6,175.9,28882080,23.4,6.32,4.0,21.0,75.0
3.9,22.3,64.9,29202218,39.3,4.35,13.0,41.0,46.0
4.7,13.0,38.5,28542220,71.2,4.28,5.0,32.0,64.0
3.5,15.0,35.9,28102276,39.8,4.45,3.0,21.0,76.0
6.1,7.6,37.2,28142280,75.4,3.86,8.0,44.0,48.0
2.3,10.3,104.5,28182282,30.8,4.89,4.0,25.0,71.0
3.5,6.7,83.9,28382100,51.7,4.87,9.0,35.0,56.0
1.6,4.0,110.3,29302234,20.7,5.79,22.0,46.0,32.0
4.7,39.1,53.7,28622242,74.7,4.34,4.0,32.0,64.0
4.6,10.0,246.7,28602250,69.1,4.79,11.0,49.0,40.0
3.0,9.4,123.2,28422262,35.4,4.53,3.0,22.0,74.0
3.3,21.9,75.2,28562254,64.8,4.3,8.0,44.0,48.0
3.6,17.1,36.8,28502252,53.5,4.52,4.0,26.0,70.0
2.6,14.7,19.7,28522236,38.6,4.51,4.0,29.0,67.0
1.1,4.0,5.2,28342236,13.7,4.64,7.0,23.0,70.0
3.5,7.8,178.6,28322234,50.2,4.52,9.0,37.0,53.0
3.5,110.4,46.8,28202170,37.9,4.81,7.0,31.0,62.0
5.2,11.6,270.5,28262288,66.9,5.43,4.0,28.0,68.0
1.0,92.5,67.4,50183292,8.3,4.72,7.0,27.0,66.0
0.8,48.6,19.6,50063302,6.7,3.82,6.0,20.0,74.0
3.1,14.8,78.1,50403010,52.3,4.16,18.0,56.0,27.0
1.4,22.0,73.6,46943130,10.8,5.06,17.0,51.0,31.0
1.4,21.8,92.8,49123230,11.8,5.33,18.0,30.0,52.0
0.8,65.6,94.1,48883170,7.1,4.89,7.0,29.0,64.0
0.8,9.2,23.0,48343156,11.8,4.5,9.0,33.0,58.0
2.7,24.9,95.8,51143456,26.3,6.26,6.0,36.0,58.0
1.1,66.2,90.0,51643338,10.4,5.1,9.0,22.0,69.0
2.6,52.2,101.4,48083036,33.1,4.14,11.0,45.0,44.0
1.0,10.1,39.5,47143284,12.7,7.14,9.0,22.0,69.0
1.1,10.1,23.9,50403182,12.2,4.01,12.0,43.0,45.0
3.8,9.7,80.8,49962994,50.6,4.08,24.0,61.0,16.0
2.7,15.1,86.5,49882996,24.0,4.6,25.0,64.0,11.0
1.0,61.0,195.4,49343410,7.6,6.33,15.0,28.0,57.0
1.1,52.6,50.9,49503262,12.2,4.97,3.0,10.0,87.0
1.3,85.9,244.3,49303248,10.0,5.78,11.0,29.0,60.0
1.2,30.3,129.1,52483188,9.8,6.14,14.0,39.0,48.0
2.5,23.3,69.7,50642978,20.5,4.64,20.0,64.0,17.0
